fecha,super,producto,cantidad,unidad,marca,precio
17/06/2025,spar borbalan,lomo adobado,1000.0,g,no aplica,10.99
17/06/2025,spar borbalan,croquetas,1000.0,g,no aplica,9.95
17/06/2025,spar borbalan,pollo adobado,1000.0,g,no aplica,10.69
17/06/2025,spar borbalan,bistec de res,1000.0,g,no aplica,14.09
17/06/2025,spar borbalan,patatas,1000.0,g,no aplica,1.95
07/07/2025,spar borbalan,patatillas,140.0,g,lays mediterraneas,2.28
07/07/2025,spar borbalan,patatillas,165.0,g,pringles,2.17
07/07/2025,spar borbalan,crema solar,200.0,g,nivea,15.29
18/05/2025,olivier,patatillas,125.0,g,lays,1.5
18/05/2025,olivier,patatillas,125.0,g,lays,1.5
18/05/2025,olivier,huevos,6.0,ud,el taro,1.8
18/05/2025,olivier,pan,125.0,g,no aplica,0.65
13/05/2025,spar borbalan,pan,125.0,g,no aplica,0.59
13/05/2025,spar borbalan,pimiento rojo,1000.0,g,no aplica,2.89
13/05/2025,spar borbalan,aguacates,1000.0,g,no aplica,4.5
13/05/2025,spar borbalan,pimiento verde,1000.0,g,no aplica,3.24
13/05/2025,spar borbalan,cebolla,1000.0,g,no aplica,2.5
12/05/2025,spar borbalan,pan,125.0,g,no aplica,0.59
12/05/2025,spar borbalan,fuet,170.0,g,el pozo,4.95
12/05/2025,spar borbalan,chocolate,210.0,g,kinder maxi,3.98
12/05/2025,spar borbalan,leche,1000.0,g,asturiana sin lactosa,1.45
26/04/2025,spar borbalan,pechuga de pollo,1000.0,g,no aplica,10.49
26/04/2025,spar borbalan,chorizo,80.0,g,revilla,1.0
26/04/2025,spar borbalan,detergente lavadora,1550.0,g,ariel basico,5.95
26/04/2025,spar borbalan,carne picada de anojo,1000.0,g,no aplica,12.29
25/04/2025,spar borbalan,patatillas,130.0,g,cumba,1.79
25/04/2025,spar borbalan,munchitos,160.0,g,matutano,2.55
25/04/2025,spar borbalan,pan,70.0,g,no aplica,0.57
25/04/2025,spar borbalan,fuet,170.0,g,el pozo,4.95
26/04/2025,spar borbalan,yogur fresa,480.0,g,danone,1.79
25/04/2025,spar borbalan,potitos,400.0,g,spar,2.39
25/04/2025,spar borbalan,natillas vainilla,500.0,g,spar,1.73
25/04/2025,spar borbalan,chocolate,125.0,g,nestle,1.96
25/04/2025,spar borbalan,pollo mechado,300.0,g,buga buga,3.95
25/04/2025,spar borbalan,pimiento rojo,1000.0,g,no aplica,3.95
25/04/2025,spar borbalan,pimiento verde,1000.0,g,no aplica,3.5
25/04/2025,spar borbalan,platanos,1000.0,g,canarias,2.19
25/04/2025,spar borbalan,huevos,10.0,ud,el taro,3.49
18/04/2025,spar borbalan,aceitunas,180.0,g,escamilla,0.69
18/04/2025,spar borbalan,pimiento verde,1000.0,g,no aplica,3.5
18/04/2025,spar borbalan,pimiento rojo,1000.0,g,no aplica,3.69
18/04/2025,spar borbalan,patatillas,130.0,g,cumba,1.79
18/04/2025,spar borbalan,huevos,10.0,ud,el taro,3.49
18/04/2025,spar borbalan,patatillas,150.0,g,spar,1.29
16/04/2025,spar borbalan,chorizo,80.0,g,revilla,1.0
16/04/2025,spar borbalan,aguacates,1000.0,g,no aplica,4.5
16/04/2025,spar borbalan,carne picada de anojo,1000.0,g,no aplica,13.3
16/04/2025,spar borbalan,pechuga de pollo,1000.0,g,no aplica,10.49
16/04/2025,spar borbalan,platanos,1000.0,g,canarias,2.19
15/03/2025,spar borbalan,pan,260.0,g,no aplica,1.25
15/03/2025,spar borbalan,natillas vainilla,500.0,g,spar,1.73
15/03/2025,spar borbalan,ajo-perejil,55.0,g,carmencita,2.09
15/03/2025,spar borbalan,bistec de res,1000.0,g,no aplica,14.09
15/03/2025,spar borbalan,platanos,1000.0,g,canarias,1.6
15/03/2025,spar borbalan,ajos,1000.0,g,no aplica,6.95
17/04/2025,spar borbalan,chocolate,125.0,g,nestle,1.96
17/04/2025,spar borbalan,galletas,760.0,g,cuetara,4.2
12/03/2025,fruteria,tomate cherry,1000.0,g,pera,5.35
12/03/2025,fruteria,aguacates,1000.0,g,no aplica,7.4
12/03/2025,fruteria,queso fresco,1000.0,g,flor valsequillo,16.85
10/03/2025,spar borbalan,tomate natural,400.0,g,spar,0.79
08/03/2025,spar borbalan,papel de horno,1.0,ud,spar,1.0
08/03/2025,spar borbalan,leche,1000.0,g,kaiku sin lactosa,1.45
08/03/2025,spar borbalan,potitos,400.0,g,spar,2.39
08/03/2025,spar borbalan,pan,260.0,g,no aplica,1.25
08/03/2025,spar borbalan,cereales,375.0,g,chocapic,3.16
08/03/2025,spar borbalan,atun,6.0,ud,eureka,6.36
08/03/2025,spar borbalan,huevos,10.0,ud,el taro,3.49
08/03/2025,spar borbalan,fuet,170.0,g,el pozo,2.99
08/03/2025,spar borbalan,patatillas,150.0,g,spar,1.29
08/03/2025,spar borbalan,chorizo,80.0,g,revilla,1.0
08/03/2025,spar borbalan,aguacates,1000.0,g,no aplica,4.5
08/03/2025,spar borbalan,estropajos,3.0,ud,am,0.53
08/03/2025,spar borbalan,pechuga de pollo,1000.0,g,no aplica,10.49
08/03/2025,spar borbalan,lechuga,1.0,ud,cogollos,2.09
08/03/2025,spar borbalan,carne picada de anojo,1000.0,g,no aplica,13.3
08/03/2025,spar borbalan,leche,2000.0,g,asturiana entera,2.5
04/03/2025,spar borbalan,mermelada de fresa,330.0,g,ligeresa,2.39
04/03/2025,spar borbalan,pan,125.0,g,no aplica,0.59
04/03/2025,olivier,patatillas,125.0,g,lays,1.5
03/03/2025,spar borbalan,pechuga de pollo,1000.0,g,no aplica,10.49
03/03/2025,spar borbalan,fuet,340.0,g,el pozo,4.95
03/03/2025,spar borbalan,aceitunas,180.0,g,jolca,0.89
03/03/2025,spar borbalan,pan,550.0,g,no aplica,0.85
26/02/2025,fruteria,tomate cherry,1000.0,g,pera,5.35
26/02/2025,fruteria,aguacates,1000.0,g,no aplica,7.4
22/02/2025,spar borbalan,papel de horno,1.0,ud,spar,1.0
22/02/2025,spar borbalan,platanos,1000.0,g,canarias,1.6
22/02/2025,spar borbalan,aguacates,1000.0,g,no aplica,4.5
21/02/2025,fruteria,tomate cherry,1000.0,g,pera,5.35
21/02/2025,fruteria,queso fresco,1000.0,g,flor valsequillo,16.85
21/02/2025,fruteria,lechuga,1.0,ud,batavia,1.59
20/02/2025,spar borbalan,pimientos,1000.0,g,no aplica,3.6
17/02/2025,spar borbalan,munchitos,160.0,g,matutano,2.55
17/02/2025,spar borbalan,fuet,170.0,g,el pozo,2.99
17/02/2025,spar borbalan,pan,125.0,g,no aplica,0.59
17/02/2025,spar borbalan,aceitunas,180.0,g,jolca,0.89
17/02/2025,spar borbalan,fresas,1000.0,g,no aplica,9.25
17/02/2025,spar borbalan,potitos,400.0,g,spar,2.39
17/02/2025,spar borbalan,manzanas,1000.0,g,royal,2.25
17/02/2025,spar borbalan,aguacates,1000.0,g,no aplica,4.25
17/02/2025,spar borbalan,tomate natural,390.0,g,diamante,1.36
17/02/2025,fruteria,cebolla,1000.0,g,no aplica,1.8
17/02/2025,fruteria,platanos,1000.0,g,canarias,1.89
15/02/2025,olivier,agua,8000.0,g,vitalia,1.8
13/02/2025,spar borbalan,chorizo,80.0,g,revilla,1.0
13/02/2025,spar borbalan,tomate natural,400.0,g,spar,0.79
11/02/2025,spar borbalan,pechuga de pollo,1000.0,g,no aplica,10.49
11/02/2025,heladeria,aguacates,1000.0,g,no aplica,4.5
09/02/2025,olivier,pan de molde sin gluten,300.0,g,bimbo,3.95
09/02/2025,olivier,tarro atun,220.0,g,pescamar,2.85
07/02/2025,spar borbalan,patatillas,150.0,g,lays mediterraneas,2.85
07/02/2025,olivier,patatas congeladas,1000.0,g,eurofrits,2.95
05/02/2025,spar borbalan,platanos,1000.0,g,canarias,1.6
05/02/2025,spar borbalan,aguacates,1000.0,g,no aplica,4.25
05/02/2025,spar playa,fresas,1000.0,g,no aplica,9.25
02/02/2025,spar borbalan,mayonesa,750.0,g,ybarra,3.95
02/02/2025,spar borbalan,lavavajillas,935.0,g,disiclin,1.79
02/02/2025,spar borbalan,pan,260.0,g,no aplica,1.25
02/02/2025,spar borbalan,chorizo perro,3.0,ud,el palmero,2.07
01/02/2025,lupe,aceitunas,180.0,g,jolca,0.95
01/02/2025,lupe,anacardos,1000.0,g,casa ricardo,22.75
01/02/2025,spar borbalan,pizza sin gluten,345.0,g,ristorante,6.2
31/01/2025,spar borbalan,platanos,1000.0,g,canarias,1.6
31/01/2025,spar borbalan,pan,550.0,g,no aplica,0.85
31/01/2025,spar borbalan,natillas vainilla,500.0,g,spar,1.73
31/01/2025,spar borbalan,lechuga,1.0,ud,batavia,2.25
31/01/2025,spar borbalan,chorizo perro,2.0,ud,el palmero,1.38
31/01/2025,spar borbalan,leche,6.0,ud,asturiana entera,7.5
30/01/2025,spar playa,patatas,1000.0,g,no aplica,1.85
30/01/2025,spar playa,espinacas congeladas,400.0,g,spar,1.43
30/01/2025,spar playa,harina,1000.0,g,pan,2.52
30/01/2025,spar playa,yogur proteinas,400.0,g,asturiana,3.19
30/01/2025,spar playa,pan,550.0,g,no aplica,0.85
28/01/2025,spar borbalan,atun,6.0,ud,eureka,6.36
28/01/2025,spar borbalan,limpiador multiusos,750.0,g,sanytol,2.78
28/01/2025,spar borbalan,garbanzos,540.0,g,spar,1.14
28/01/2025,spar borbalan,quitagrasa,780.0,g,kh-7,4.79
28/01/2025,spar borbalan,tomate natural,660.0,g,spar1,2.46
28/01/2025,spar borbalan,bolsas basura,20.0,ud,spar,1.79
28/01/2025,spar borbalan,tampones,16.0,ud,tampax compak pearl,3.98
28/01/2025,spar borbalan,potitos,400.0,g,spar,2.39
28/01/2025,spar borbalan,tortitas de arroz,130.0,g,comeztier,1.59
28/01/2025,spar borbalan,carne picada de anojo,1000.0,g,no aplica,13.3
28/01/2025,spar borbalan,flan,400.0,g,spar,1.22
28/01/2025,spar borbalan,chorizo,80.0,g,revilla,1.0
28/01/2025,spar borbalan,compresas,16.0,ud,evax,2.96
28/01/2025,spar borbalan,pechuga de pollo,1000.0,g,no aplica,10.49
28/01/2025,spar borbalan,bistec de res,1000.0,g,no aplica,14.09
28/01/2025,spar borbalan,huevos,10.0,ud,el taro,3.49
28/01/2025,spar borbalan,manzanas,1000.0,g,royal,2.25
28/01/2025,spar borbalan,aguacates,1000.0,g,no aplica,4.25
28/01/2025,spar borbalan,pimiento verde,1000.0,g,no aplica,2.7
28/01/2025,spar borbalan,pimiento amarillo,1000.0,g,no aplica,3.85
28/01/2025,spar borbalan,cebolla,1000.0,g,no aplica,2.19
28/01/2025,spar borbalan,pimiento rojo,1000.0,g,no aplica,2.84
28/01/2025,spar borbalan,chorizo perro,2.0,ud,el palmero,1.38
28/01/2025,spar borbalan,tomate cherry,250.0,g,normal,2.16
28/01/2025,spar borbalan,queso fresco,1000.0,g,flor valsequillo,11.95
20/01/2025,spar borbalan,potitos,400.0,g,spar,2.39
20/01/2025,spar borbalan,lechuga,1.0,ud,batavia,2.25
20/01/2025,spar borbalan,platanos,1000.0,g,canarias,1.6
20/01/2025,spar borbalan,fuet,250.0,g,el pozo imperial,3.45
18/01/2025,spar borbalan,huevos,10.0,ud,el taro,3.49
18/01/2025,spar borbalan,vino blanco,1000.0,g,spar,1.46
18/01/2025,spar borbalan,cebolla,1000.0,g,no aplica,2.19
